602|PBHA's 1-2-1 Boston Refugee Youth Enrichment|"BRYE 1-2-1 is a big sibling program for children who, already have a working knowledge of English, and would benefit from a one-on-one mentoring relationship. Through this program, we seek to help them experience parts of American culture they might otherwise miss, give them role models to look up to, and make friendships that endure. Volunteers meet with their little siblings once a week on Saturdays, sometimes spending time one-on-one and other times taking part in organized ""optional activities"" or group field trips (for example, to the Boston Children's Museum, the Ringling Brothers Barnum and Bailey's Circus, ice skating lessons, etc.)"|1|Undergraduates|brye121@pbha.org||PBHA's 1-2-1 Boston Refugee Youth Enrichment,Student Organization Center at Hilles (SOCH),Box # ,59 Shepard Street,Cambridge, MA 02138|November
1217|Harvard College Access Health|The purpose of Access Health is to empower low-income residents of the greater Boston area by providing them with information about the health resources available to them. We do this by staffing booths at weekly soup kitchens in Cambridge at which attendees are invited to discuss their medical concerns with our volunteers. We aim to provide attendees with information about how they might get attention for their medical needs at a low cost. This includes information about local clinics, emergency care, public health insurance, and other programs available for low-income patients. We also offer to measure interested attendees\x{ef}\x{bf}\x{bd} blood pressure, provide them with a recording, and ask them to discuss any concerns with a health-care provider.|1|Undergraduates|||Harvard College Access Health,Student Organization Center at Hilles (SOCH),Box # 413,59 Shepard Street,Cambridge, MA 02138|April
789|Harvard College Act On A Dream Club|Harvard College Act On A Dream is a student sponsored group whose purpose is to motivate Harvard students to become actively involved in immigration reform and to provide students with immigration-related interests the resources necessary to pursue their goals.  It focuses in part on providing immigrant students equal educational opportunities by means of lobbying, educating the public, and raising awareness within campus communities and throughout the nation. It is hoped that Act on a Dream club will grant thousands of hardworking students access to higher education and eventual citizenship while promoting political activism among the nation's youth.          Act On A Dream provides a valuable tool to students interested in making change relevant to immigration issues.  At the very least it is a network of concerned students sharing a common interest to promote education and awareness.  At its best, the organization is a mechanism to achieve immediate goals on campus within the means of a Harvard organization.|1|Undergraduates|info@actonadream.org|http://www.actonadream.org|Harvard College Act On A Dream Club,Student Organization Center at Hilles (SOCH),Box # 389,59 Shepard Street,Cambridge, MA 02138|December
1034|Harvard College Actuarial Society|The Harvard College Actuarial Society HCAS is concerned with promoting careers and information in actuarial science. Harvard Actuarial Society is a pre-professional student-led organization established with the purpose of introducing students to careers in actuarial science and related fields. As well as raising awareness of the actuarial profession at Harvard College, the group strives to provide a forum for networking with professionals and Harvard alumni involved in fields related to actuarial science through events and discussion panels. The group will offer timelines, resources, and guidance for helping students pass examinations.|0|Undergraduates|harvardactuarialsociety@gmail.com||Harvard College Actuarial Society,Student Organization Center at Hilles (SOCH),Box # 373,59 Shepard Street,Cambridge, MA 02138|March
975|Advertising and Marketing Club of Harvard College|The goal of the Club is to centralize interest in advertising and marketing on campus into a productive hub for students. Our goal is to create an organization that informs and trains future business leaders to tackle the ever-changing demands within this new and fast-paced field. By putting on workshops, competing at a national level, and organizing conferences, this organization will serve a growing population interested in advertising and marketing, while sparking interest to better inform the casual consumer of advertising content.|2|Undergraduates|admarketingharvard@gmail.com|http://hcs.harvard.edu/adandmarketing|Advertising and Marketing Club of Harvard College,Student Organization Center at Hilles (SOCH),Box # 154,59 Shepard Street,Cambridge, MA 02138|April
923|Advocating Success for Kids|In order to help eliminate the link between low income and diminished access to education, the ASK program advocates on behalf of children with special needs so they can benefit from resources for academic success.|1|Undergraduates|advocatingsuccessforkids@gmail.com|https://sites.google.com/site/advocatingsuccess/|Advocating Success for Kids,Student Organization Center at Hilles (SOCH),Box # 341,59 Shepard Street,Cambridge, MA 02138|December
656|Harvard College Africa Business and Investment Club|Africa provides quintessential grounds for analytical study of poverty and underdevelopment and the role of ethical business in ameliorating some of these problems. This kind of cross-context understanding of poverty, underdevelopment and the role of ethical business practice in ameliorating them,  in an era of globalization and rapid economic transformations-- is imperative for Africa and the developing world in general. The resulting sustainable economic growth for the developing world is essential, especially if the United Nations' Millennium Development Goal of cutting the 1990 poverty rate by half by 2015 is to be realized.            A club like the forenamed will promote better understanding of these and other issues by bringing together Harvard College students and Experts from academia, business, finance and development fields. Many of our members are interested in careers in Africa after graduation or in the long term. Members will also typically (but need not) have an interest in business, finance, economics, development, government or some other related field. Every year, the club will run a real or simulated investment project  based on an identified developmental or poverty-alleviation need in a chosen African country.|4|Undergraduates|harvardafricabusiness@gmail.com|http://hcs.harvard.edu/habic|Harvard College Africa Business and Investment Club,Student Organization Center at Hilles (SOCH),Box # 286,59 Shepard Street,Cambridge, MA 02138|April
374|Harvard African Students Association|The Harvard African Students' Association, founded in 1977, is an organization committed to nourishing cultural, intellectual, political and economic awareness about the African continent. We are the Harvard community for students from Africa, connected to Africa, or interested in matters concerning Africa. Anyone who is intrigued by lively debates, art shows, cultural shows, music, and African cuisine will find a welcoming home at HASA. We are dedicated to building community and promoting collaboration amongst African students at Harvard, encouraging awareness of Africa within the Harvard community and the greater Boston area, and ultimately contributing back our continent.|3|Undergraduates|harvardasa@gmail.com|http://hcs.harvard.edu/~hasa|Harvard African Students Association,Student Organization Center at Hilles (SOCH),Box # 146,59 Shepard Street,Cambridge, MA 02138|April
1174|Harvard College Agricultural Community|The purpose of this group is to unite Harvard undergraduates who have experience or interest in American agriculture, and provide the space for these students to gather together, host events and promote agriculture on Harvard\x{ef}\x{bf}\x{bd}s campus.|1|Undergraduates|harvard-college-agricultural-community@googlegroups.com||Harvard College Agricultural Community,Student Organization Center at Hilles (SOCH),Box # 411,59 Shepard Street,Cambridge, MA 02138|March
872|Harvard College Alpha Omega|Harvard College Alpha Omega (HCA?) seeks to discuss issues of faith, reason, and spirituality within the Christian tradition and to explore how these concern the Harvard community; to enrich understanding of Christianity and of the Restoration Movement among faculty and students; to foster an exchange of ideas concerning the identity and purpose of the Restoration Movement, both within Christianity and within the global religious community; and to provide a center for fellowship among students and faculty interested in the Restoration Movement, especially for members of the Disciples of Christ, the Independent Christian Churches, the Churches of Christ, the International Churches of Christ, and the non-institutional Churches of Christ.|1|Undergraduates|alphaomega@hcs.harvard.edu|http://www.hcs.harvard.edu/alphaomega|Harvard College Alpha Omega,Student Organization Center at Hilles (SOCH),Box # 16,59 Shepard Street,Cambridge, MA 02138|September
